latitude,longitude,elevation_meters,original_street1,original_street2,original_city,original_state,original_zip,full_address_used
34.5599467,-117.4421505,895.0,10250 Rancho Road,,Adelanto,CA,92301,"10250 Rancho Road, Adelanto, CA, 92301"
38.8315147,-77.2098313,89.0,7619 Little River Turnpike,,Annandale,VA,22003,"7619 Little River Turnpike, Annandale, VA, 22003"
,,,"180 Ted Turner Drive, SW, Suite 332",,Atlanta,GA,30303,"180 Ted Turner Drive, SW, Suite 332, Atlanta, GA, 30303"
33.7495519,-84.3973214,323.0,180 Ted Turner Dr. SW,,Atlanta,GA,30303,"180 Ted Turner Dr. SW, Atlanta, GA, 30303"
,,,"401 W. Peachtree Street, NW, Suite 2850",,Atlanta,GA,30308,"401 W. Peachtree Street, NW, Suite 2850, Atlanta, GA, 30308"
,,,1100 Centre Parkway,,Atlanta,GA,30344,"1100 Centre Parkway, Atlanta, GA, 30344"
,,,"31 Hopkins Plaza, Room 1600",,Baltimore,MD,21201,"31 Hopkins Plaza, Room 1600, Baltimore, MD, 21201"
,,,"40 South Gay Street, 3rd Floor",,Baltimore,MD,21202,"40 South Gay Street, 3rd Floor, Baltimore, MD, 21202"
43.0203104,-78.2024802,279.0,4250 Federal Drive,,Batavia,NY,14020,"4250 Federal Drive, Batavia, NY, 14020"
,,,"15 New Sudbury Street, Room 425",,Boston,MA,2203,"15 New Sudbury Street, Room 425, Boston, MA, 2203"
42.3651998,-71.0631178,8.0,10 Causeway Street,,Boston,MA,2222,"10 Causeway Street, Boston, MA, 2222"
,,,"925 Keynote Circle, Room 201",,Brooklyn Heights,OH,44131,"925 Keynote Circle, Room 201, Brooklyn Heights, OH, 44131"
42.8912883,-78.8768694,187.0,250 Delaware Ave,,Buffalo,NY,14202,"250 Delaware Ave, Buffalo, NY, 14202"
,,,"250 Delaware Avenue, Suite 773",,Buffalo,NY,14202,"250 Delaware Avenue, Suite 773, Buffalo, NY, 14202"
,,,"130 Delaware Avenue, Ste 300",,Buffalo,NY,14202,"130 Delaware Avenue, Ste 300, Buffalo, NY, 14202"
34.5599467,-117.4421505,895.0,10250 Rancho Road,,Adelanto,CA,92301,"10250 Rancho Road, Adelanto, CA, 92301"
